Supplementary Table 3: Total identified proteins and their respective NASF before filtration steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main.Acessions,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9
Groups,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control 
A0A5C2FT60,0.028205128,0.042783883,0.027183833,0.073076923,NA,NA,NA,0.04225452,0.02394775,0.027057387,0.022298535,0.05483871,NA,NA,0.025961538,NA,NA,0.032967033,NA,NA,0.04,NA,NA,NA,0.015779093,0.061538462,NA,NA,NA,NA
A0A5C2FT63,0.068965517,0.103448276,0.034482759,NA,0.172413793,NA,NA,0.155172414,0.103448276,NA,0.120689655,0.137931034,0.068965517,0.103448276,0.103448276,0.068965517,NA,NA,0.068965517,0.206896552,0.103448276,0.137931034,0.068965517,0.137931034,0.137931034,NA,0.034482759,0.068965517,0.137931034,NA
A0A5C2FT69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011538462,NA,NA,NA,NA,NA,0.02576475,NA,NA,NA,NA,NA,NA,NA
A0A5C2FT71,NA,0.051724138,NA,NA,NA,NA,NA,NA,0.034482759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FT75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013513514,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015765766,NA,NA
A0A5C2FT85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017620863,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FT87,NA,NA,0.008928571,0.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026785714,NA,NA,NA,NA,NA,NA
A0A5C2FT88,0.05,0.042441853,0.01947143,0.015217764,0.035849953,0.016609827,0.011791415,0.041666667,0.028985507,0.025020077,0.030996183,0.014722222,0.056082982,NA,0.0625,0.020220588,NA,0.027777778,0.021720679,NA,0.049452862,0.022135417,0.00368266,0.02991453,0.015022676,NA,NA,NA,0.013888889,0.023148148
A0A5C2FT96,NA,NA,NA,NA,NA,NA,0.017491615,NA,NA,0.018405359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015897436,NA,NA,NA,NA,NA,NA
A0A5C2FT97,NA,NA,NA,0.003986626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTA0,NA,NA,NA,0.009326854,NA,NA,NA,NA,0.018264463,NA,NA,NA,NA,NA,NA,0.01043227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018181818,NA,NA
A0A5C2FTA1,0.010125342,NA,NA,0.00462963,NA,NA,NA,NA,NA,0.009259259,NA,NA,NA,NA,NA,NA,NA,0.027777778,NA,NA,NA,0.00462963,NA,NA,0.01872428,NA,NA,NA,NA,NA
A0A5C2FTA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00462963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTA7,0.02,NA,0.04,NA,0.08,NA,NA,0.04,NA,0.04,NA,NA,NA,NA,NA,0.03,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA
A0A5C2FTA8,NA,NA,NA,NA,NA,NA,NA,NA,0.062151654,NA,0.016020524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTB2,NA,NA,0.016202148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTB6,NA,NA,0.027866809,0.014193025,NA,NA,0.020833333,0.020833333,NA,NA,NA,0.027927121,NA,NA,NA,NA,NA,0.027777778,NA,NA,NA,NA,0.027777778,0.013888889,0.027777778,NA,0.027777778,NA,NA,0.027777778
A0A5C2FTC4,0.015384615,0.046153846,0.031027133,0.061709402,0.046745562,NA,NA,0.033125055,0.015563506,0.015824176,0.023417577,0.030769231,0.046353646,NA,NA,0.030769231,0.015384615,0.015384615,NA,NA,NA,0.008717949,0.015384615,0.015384615,0.061846154,0.015897436,0.015384615,NA,NA,0.046153846
A0A5C2FTD2,0.009259259,0.027777778,0.018518519,NA,NA,0.009259259,NA,0.018518519,NA,NA,0.037037037,0.00462963,NA,0.018518519,NA,NA,NA,NA,0.009259259,0.046296296,0.023148148,NA,NA,NA,0.009259259,NA,NA,NA,NA,NA
A0A5C2FTE0,0.009467663,NA,NA,NA,NA,0.018752659,NA,NA,NA,0.009491954,0.018552013,0.012856986,0.014003911,NA,0.005952267,0.011111111,NA,NA,NA,0.005007559,0.009681402,0.004141872,NA,NA,0.015470501,0.020897634,0.00997151,NA,0.009567901,NA
A0A5C2FTE7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006944444,NA,NA,NA,NA,NA,NA,NA,0.013888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTF3,NA,NA,NA,NA,0.019237958,NA,NA,NA,NA,0.009581936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTF5,NA,NA,NA,NA,NA,NA,0.010989011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046153846,NA,NA,NA,NA,NA,0.011538462,NA
A0A5C2FTG3,0.128438228,0.154391356,0.150268815,0.091797871,0.023846154,0.224119658,0.162993097,0.102802198,0.102472889,0.068376068,0.092535167,0.216006891,0.123405654,0.100651807,0.143263126,0.097435897,NA,NA,0.054871795,0.080705526,0.161952385,0.03175864,0.020512821,0.039183348,0.057591973,0.061820498,0.035286935,NA,NA,0.018277449
A0A5C2FTG4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009345794,NA,0.009345794,NA,NA,NA,NA,NA,0.018691589,NA,NA,NA
A0A5C2FTH5,NA,NA,NA,NA,0.006756757,NA,NA,0.009009009,0.002252252,NA,0.009009009,NA,NA,NA,NA,0.00990991,NA,NA,NA,0.009813127,NA,NA,NA,0.018018018,NA,NA,NA,NA,NA,NA
A0A5C2FTH9,NA,NA,NA,0.007575758,NA,NA,NA,0.01656929,NA,0.015151515,NA,NA,NA,0.045454545,NA,NA,NA,NA,NA,NA,0.007575758,NA,NA,NA,NA,0.015151515,NA,0.015151515,NA,NA
A0A5C2FTI5,NA,NA,NA,NA,0.033333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTI7,0.086565898,NA,NA,0.118504715,NA,0.039621844,NA,0.032225237,NA,0.082046646,0.030011655,0.018759214,0.052384272,0.013986014,0.082122565,0.038181818,NA,NA,0.051085146,NA,NA,NA,0.011067194,0.028590909,0.041906494,NA,0.037062937,NA,0.027575758,0.018787879
A0A5C2FTI9,NA,NA,NA,NA,NA,NA,NA,0.017229774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTJ0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTJ7,0.04,NA,0.033418259,0.026666667,NA,NA,NA,NA,NA,NA,NA,0.04,0.053333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTJ9,0.01056338,NA,NA,NA,NA,0.029342723,NA,NA,NA,0.035211268,NA,NA,NA,NA,0.021126761,0.023474178,NA,0.028169014,0.014084507,NA,0.022887324,0.030046948,NA,NA,NA,0.021126761,NA,0.014084507,NA,0.035211268
A0A5C2FTK2,NA,NA,NA,0.012291052,NA,0.009654063,NA,NA,NA,NA,0.009439528,NA,0.008849558,NA,NA,0.004424779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTK3,NA,NA,NA,NA,NA,NA,0.053340303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032407407,0.018518519,NA,0.001851852,0.009259259,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTK4,0.120689655,0.172413793,NA,NA,NA,0.068965517,NA,0,NA,0.060344828,NA,NA,NA,NA,NA,0.137931034,NA,NA,0.08045977,NA,NA,NA,0.034482759,NA,NA,NA,NA,NA,0.045977011,NA
A0A5C2FTL4,NA,0.027777778,NA,NA,NA,NA,NA,0.027777778,0.020833333,0.006944444,NA,0.013888889,0.009259259,NA,0.013888889,NA,NA,NA,NA,NA,NA,NA,0.027777778,NA,0.027777778,NA,0.027777778,NA,0.013888889,0.013888889
A0A5C2FTM1,0.013636364,0.068181818,0.018181818,0.006818182,0.025,0.031818182,0.036363636,0.021590909,NA,0.043181818,0.036363636,0.010606061,0.010606061,0.027272727,0.008333333,0.004545455,NA,0.027272727,NA,0.021590909,0.009090909,0.015909091,0.018181818,NA,0.022727273,0.009090909,0.022727273,NA,NA,0.009090909
A0A5C2FTM7,0.036968304,NA,NA,0.019021248,0.041085947,NA,NA,0.041811847,0.024390244,0.048687573,0.032246148,0.017242385,0.027920411,NA,0.036021397,NA,NA,NA,0.037694013,0.03587108,NA,NA,NA,NA,0.028824834,NA,NA,NA,NA,NA
A0A5C2FTM8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016873449,NA,NA,0.017582418,NA,NA,NA,NA,NA,NA,NA,0.009230769
A0A5C2FTM9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033333333,0.000860358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTN4,0.037262873,NA,NA,NA,NA,0.009259259,NA,NA,NA,NA,NA,0.005015432,NA,NA,0.004781421,0.009567901,NA,0.00462963,NA,0.018771475,NA,NA,NA,NA,0.009514499,NA,NA,NA,NA,NA
A0A5C2FTN5,NA,NA,NA,0.031097939,NA,NA,0.032837291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015915119,NA,NA,NA,NA
A0A5C2FTN6,NA,NA,NA,NA,NA,NA,NA,0.025640641,NA,NA,NA,0.030928241,0.01632716,NA,0.030079076,NA,NA,NA,0.028951867,0.015694382,NA,NA,NA,NA,0.029049002,NA,NA,NA,0.017911977,0.022698413
A0A5C2FTP6,NA,NA,NA,NA,0.043025351,NA,NA,0.036969094,NA,NA,NA,NA,NA,NA,0.023034119,NA,0.02087536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTP7,NA,NA,NA,NA,NA,0.005117868,NA,NA,NA,0.009794839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTQ2,NA,NA,0.03808928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTQ5,NA,NA,NA,0.017605634,NA,NA,0.012676056,0.02758216,0.021126761,0.023474178,NA,NA,NA,0.018779343,NA,NA,0.042253521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011682243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTR4,NA,0.010045456,NA,NA,NA,NA,0.010759199,NA,NA,0.029884393,NA,0.020178812,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008095664,0.013196799,NA,0.009660546,NA,NA,NA,NA,NA
A0A5C2FTR7,NA,0.015384615,NA,NA,0.015976331,0.016004171,NA,0.008830385,0.024447621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015726496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTS4,NA,NA,NA,NA,0.014530925,NA,NA,0.022477939,NA,NA,0.033952503,NA,0.00184013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTS6,NA,0.009971024,NA,0.006337276,NA,NA,NA,NA,0.009621839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015078663,NA,NA,NA,NA,NA,NA,NA,NA,0.012232416,NA
A0A5C2FTS8,0.013656633,NA,NA,0.032434899,0.041059338,NA,NA,NA,0.013458271,0.038461538,NA,NA,NA,NA,NA,0.039479519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03951428
A0A5C2FTT6,NA,NA,NA,NA,NA,NA,0.018518519,0.025309882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTT7,0.005351729,NA,NA,NA,NA,0.007454522,NA,NA,NA,NA,0.012568053,NA,NA,0.004003268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004181379,NA,0.011110925,NA,0.006391971,0.009714541
A0A5C2FTT8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006849315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTV2,NA,NA,NA,NA,0.005128205,0.001398601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030769231,NA,NA,0.002564103,0.030769231,NA,0.015384615,NA,0.002197802,NA,0.015384615,NA,NA
A0A5C2FTV4,NA,NA,NA,NA,NA,NA,NA,0,0.007355141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018718489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTW0,NA,0.025892107,NA,NA,NA,0.022202682,NA,0.000850784,0.025953889,NA,0.023379579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021067652,NA,NA,NA,NA,0.023809524
A0A5C2FTW2,NA,0.015384615,NA,NA,NA,0.015384615,NA,NA,NA,NA,NA,NA,NA,0.031464587,NA,NA,0.046153846,NA,NA,NA,0.015384615,NA,NA,0.031163708,NA,NA,NA,0.061538462,NA,0.030769231
A0A5C2FTW3,0.018655204,0.041570877,0.046149286,0.059965764,0.046636086,0.023166769,0.018666156,0.02334657,0.059893246,0.032338668,0.037010306,NA,0.036811927,0.027653997,NA,0.028039798,NA,0.019760056,0.01908493,0.023228462,0.01890181,0.010368322,NA,0.019678899,0.023481922,NA,0.028228652,0.01965924,0.018654434,0.018960245
A0A5C2FTW4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121646916,0.068237532,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTW7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024012839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTW9,0.026785714,0.026785714,0.017857143,0.008928571,0.017857143,NA,NA,NA,0.026785714,0.022321429,0.026785714,0.013392857,0.026785714,0.017857143,0.035714286,0.017857143,NA,0.017857143,0.017857143,0.035714286,0.017857143,NA,0.008928571,0.008928571,0.008928571,NA,NA,NA,NA,0.017857143
A0A5C2FTX0,0.03225074,0.025375217,0.072726357,NA,0.07145457,0.023702313,0.045038481,0.058808215,NA,0.043824715,0.05917562,0.017196886,NA,0.032195734,NA,0.080861175,NA,0.031895959,0.041537906,0.030484152,0.076705315,0.067410672,NA,NA,0.049187867,0.020555219,NA,NA,NA,0.031064065
A0A5C2FTX6,NA,NA,NA,NA,0.028781384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTX7,NA,0.013333333,0.013333333,NA,0.040512821,0.004964185,NA,NA,0.031143791,0.006666667,NA,NA,NA,0.006666667,0.054290534,0.027407407,NA,0.004444444,NA,0.013333333,0.013333333,0.007555556,NA,0.013333333,0.007245565,NA,NA,NA,NA,NA
A0A5C2FTY9,NA,NA,NA,NA,NA,NA,0.00984562,NA,NA,NA,NA,0.009833916,0.009615385,NA,NA,NA,NA,NA,NA,NA,NA,0.005244642,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTZ1,NA,NA,NA,0.115384615,NA,NA,NA,0.076923077,NA,NA,NA,NA,NA,NA,0.038461538,NA,NA,0.076923077,0.076923077,NA,NA,NA,NA,NA,0.038461538,NA,NA,NA,NA,NA
A0A5C2FTZ2,NA,0.00971093,0.011389035,NA,NA,0.01521964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006687243,NA,NA,NA,NA,NA,NA,NA
A0A5C2FTZ7,NA,NA,NA,NA,NA,0.010579135,NA,NA,NA,0.010869585,NA,NA,NA,NA,NA,0.005208333,NA,NA,NA,0.005015432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU04,0.02193535,NA,NA,NA,0.016505064,0.014625619,NA,0.028516278,0.042179582,NA,0.021661172,0.014621509,NA,NA,NA,0.032516666,NA,NA,NA,NA,NA,NA,NA,NA,0.014315074,0.01436817,NA,NA,NA,NA
A0A5C2FU05,0.00617284,0.018518519,0.027777778,NA,NA,NA,NA,0.046296296,NA,NA,NA,0.009259259,NA,NA,0.019131455,0.037037037,NA,NA,0.018518519,0.018518519,0.028071723,NA,NA,0.009259259,0.023148148,0.009259259,NA,NA,NA,0.013888889
A0A5C2FU07,0.015625,NA,0.023191734,NA,NA,NA,NA,NA,NA,NA,0.020763655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030769231,NA,NA,NA,NA,NA
A0A5C2FU08,NA,0.125,0.104166667,0.125,0.03125,NA,0.0625,NA,NA,0.083333333,NA,0.041666667,0.027777778,NA,0.055555556,0.041666667,NA,NA,0.041666667,0.020833333,0.076388889,0.0625,NA,NA,0.0625,0.052083333,NA,NA,NA,0.041666667
A0A5C2FU12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045454545,0.018181818,NA
A0A5C2FU14,NA,NA,NA,0.043195304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029411765,NA,NA,NA,NA
A0A5C2FU15,NA,NA,0.025530549,NA,0.037037037,0.023148148,0.051027676,NA,0.037121212,NA,NA,0.009259259,0.032407407,0.027777778,NA,0.046296296,NA,NA,0.046428571,0.009259259,NA,NA,NA,0.018783069,NA,0.046296296,0.037037037,0.027777778,0.023446834,0.00462963
A0A5C2FU22,NA,NA,NA,NA,NA,NA,NA,NA,0.017857143,0.008928571,NA,NA,0.017857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008928571,NA,NA,0.008928571
A0A5C2FU28,NA,NA,0.064896041,0.028764205,0.026041667,NA,NA,NA,0.0078125,0.032295283,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036175089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU34,NA,NA,NA,0.018596327,NA,NA,NA,0.013888889,NA,0.018518519,0.005828745,NA,NA,NA,0.041666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU37,NA,NA,NA,NA,0.014018692,NA,NA,NA,0.009345794,0.018691589,0.018691589,NA,NA,NA,0.018691589,0.028037383,NA,0.009345794,0.037383178,0.025700935,NA,NA,0.028037383,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU39,0.012307692,NA,0.023504274,0.023076923,0.064335664,0.031339031,NA,0.01025641,0.030769231,NA,0.062352941,0.015384615,NA,0.019230769,0.023076923,NA,0.007692308,NA,0.016025641,NA,NA,NA,0.030769231,NA,NA,0.008307692,NA,NA,0.015384615,0.030769231
A0A5C2FU46,0.00750944,0.009615385,NA,NA,0.010217114,NA,NA,NA,NA,0.018861454,0.005050505,NA,NA,0.027777778,NA,NA,NA,NA,NA,NA,NA,NA,0.00462963,NA,0.01872428,NA,0.010288066,NA,NA,NA
A0A5C2FU47,NA,NA,0.015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU51,NA,0.015151515,NA,NA,0.03030303,NA,NA,0.045454545,0.01010101,NA,0.03030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU55,NA,NA,0.015968792,NA,0.01638796,NA,0.031211574,0.046818948,NA,0.01591814,0.023867684,NA,0.008251724,NA,0.015989512,NA,NA,NA,NA,0.02356573,NA,NA,NA,NA,0.008665164,NA,NA,NA,NA,NA
A0A5C2FU57,NA,0.009626168,NA,NA,NA,0.009626168,NA,0.01887484,0.018876654,0.037678308,0.032847962,NA,0.028321095,NA,NA,NA,NA,NA,NA,NA,NA,0.009780483,NA,NA,NA,0.009487397,NA,NA,NA,NA
A0A5C2FU58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018728956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018518519,NA,NA
A0A5C2FU62,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU63,0.01263726,0.020038802,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011668745,NA,NA,0.011896472,NA,NA,NA,NA,0.010741814,0.021629106,0.01797281,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU65,NA,NA,NA,0.032467532,NA,NA,NA,NA,NA,0.008658009,0.038961039,NA,NA,0.051948052,NA,NA,0.025974026,NA,NA,0.025974026,NA,0.026067105,0.012987013,NA,NA,0.026219064,0.006493506,NA,NA,0.025974026
A0A5C2FU73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011214972,NA,NA,NA,NA,0.011737089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016203704,0.009259259,NA,NA,NA,0.010493827,NA,NA,NA,0.018518519,NA,NA,NA,0.011574074,NA,0.009259259,NA,NA,NA,0.009259259,NA
A0A5C2FU80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015873016,0.027777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU81,NA,NA,NA,NA,NA,NA,0.015607156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU87,0.018518519,NA,NA,0.006944444,0.018518519,NA,0.020833333,0.009259259,0.018518519,NA,0.013888889,NA,0.00462963,NA,0.018518519,NA,NA,NA,0.027777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034482759,NA,NA,NA,NA,0.034482759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FU91,0.016949153,NA,NA,NA,NA,NA,NA,0.016949153,0.008474576,NA,NA,NA,NA,NA,0.033898305,NA,NA,NA,0.008474576,NA,NA,NA,NA,NA,0.010564972,NA,NA,NA,NA,NA
A0A5C2FU92,NA,0.055084746,NA,0.020338983,NA,NA,NA,NA,NA,NA,NA,0.033898305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036420902,NA,NA,NA,NA,NA
A0A5C2FU96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137931034,NA,NA,NA,NA
A0A5C2FU99,NA,NA,NA,NA,0.027027027,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.016891892,NA,NA,NA,0.013513514,NA,0.033783784,0.027027027,0.047297297,NA,0.013513514,0.027027027,NA,NA,0.02027027
A0A5C2FUA0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009345794,NA,0.009906522,NA,NA,NA,NA,0.004672897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FUA9,NA,NA,NA,NA,0.031772575,NA,NA,NA,0.015952767,NA,NA,NA,0.01594683,0.018135198,NA,NA,NA,NA,0.01642764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FUC2,0.02798175,NA,0.018587617,0.018747137,0.009259259,0.009259259,0.018686605,0.018518519,0.009342676,0.009259259,0.009259259,0.009259259,0.018518519,0.009259259,0.009259259,0.009259259,NA,0.037037037,NA,0.013888889,0.009259259,0.009491287,NA,0.00952381,NA,NA,0,NA,NA,NA
A0A5C2FUC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030887231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FUD5,NA,0.114285714,0.028571429,NA,NA,NA,NA,0.019047619,0.00952381,NA,NA,0.085714286,NA,NA,NA,NA,NA,NA,NA,0.085714286,NA,0.028571429,NA,0.114285714,NA,NA,NA,0.028571429,NA,NA
A0A5C2FUD6,NA,0.013793103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068965517,NA,NA,0.034482759,NA,NA,NA,NA,0.034482759
A0A5C2FUD7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026476252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5C2FUD8,NA,NA,NA,0.011278195,NA,NA,NA,NA,NA,NA,NA,NA,0.013157895,NA,NA,0.005756579,NA,NA,NA,NA,NA,NA,NA,NA,0.013157895,NA,NA,NA,NA,NA
