Supplementary Table 3: Total identified proteins and their respective NASF before filtration steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main.Acessions,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9
Groups,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control 
A0A068LRW4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009036145,0.036144578,0.016064257,NA,0.030120482,0.004016064,NA,NA,NA,NA,NA,NA,NA,NA,0.012048193,0.018072289,0.006024096,NA,NA
A0A068LRW6,NA,NA,0.010869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6H7,NA,NA,NA,0.012982347,NA,NA,NA,0.013436305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024959844,NA,NA,NA,NA,NA,0.019056303,NA,NA,NA,NA
A0A075B6H9,0.018518519,0.030864198,0.051440329,NA,0.024691358,0.012345679,0.032921811,0.049382716,0.049382716,0.049382716,0.024691358,0.037037037,0.049382716,0.012345679,0.037037037,0.018518519,NA,NA,0.037037037,0.016460905,0.049382716,0.012345679,0.024691358,0.015432099,0.030864198,0.037037037,NA,NA,0.024691358,NA
A0A075B6J6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K2,NA,0.041683625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013096223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S9,NA,NA,NA,0.016891558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B730,NA,NA,NA,0.000431578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B752,NA,NA,NA,0.005876068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B7B8,0.00976801,0.004273504,0.001709402,0.003205128,NA,NA,0.001643655,0.003120336,0.004273504,0.007122507,0.005698006,0.001602564,0.004273504,0.003917379,NA,0.005698006,0.002849003,0.002136752,0.001709402,NA,0.003205128,0.007122507,NA,0.005698006,0.003561254,0.008784425,0.017094017,0.008547009,0.017094017,0.008241758
A0A075B7D4,NA,NA,NA,0.025997713,0.045546482,0.055153255,NA,0.089558375,NA,0.089335388,0.076273362,NA,NA,0.034337737,0.071992994,0.050580046,NA,0.045454545,NA,0.044832737,0.134228344,0.056125356,NA,NA,0.044932272,NA,NA,NA,NA,NA
A0A075B7D8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004201681,NA,NA,NA,NA,NA,NA,NA,NA,0.014129893,0.012817816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B7E8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008547009,NA,0.004273504,NA,NA,NA,NA,NA,NA,NA,0.010683761,NA,0.021367521,0.012820513,0.003205128,NA,0.017094017,0.023504274
A0A075B7F0,NA,0.001436782,NA,NA,NA,NA,NA,NA,NA,0,0.002155172,NA,0.005541872,NA,NA,0.005675287,NA,0.001724138,0.001077586,NA,NA,NA,NA,0.006465517,NA,NA,0.003448276,NA,NA,0.003771552
A0A087WT59,0.048989175,0.03760004,0.031988157,0.046437677,0.028462749,0.025649351,0.029115005,0.06225732,0.059333244,0.078624184,0.070714943,0.095600597,0.046038986,0.045491802,0.034716441,0.036311315,0.070034314,0.039400989,0.046593088,0.034159708,0.025882066,0.034892356,0.045594544,0.050633035,0.045210577,0.02225572,0.029524611,0.043962405,0.032804285,0.062567871
A0A087WTJ7,0.021378656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WTM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000444444,NA,NA,NA,NA,NA,NA,0.000888889,NA,NA,NA,NA,NA,NA
A0A087WTT1,NA,NA,NA,0.00204918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WU08,0.022154896,0.027823269,0.037956986,0.030468843,0.021242437,0.034842387,0.028486987,0.033867081,0.057717944,0.048785758,0.049939929,0.043664351,0.05732654,0.061637927,0.037519546,0.066296036,0.02826661,0.047339333,0.029463748,0.033952582,0.039516767,0.039861014,0.022271935,0.030495395,0.030229396,0.055119534,0.030620195,0.028443259,0.033797778,0.033399565
A0A087WU65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.002237136,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUA0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003460208,NA,NA,NA,NA,0.003460208,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUH4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006097561,NA,NA,NA,NA,NA
A0A087WUI2,NA,NA,NA,0.003968254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUL9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00265252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUR8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005586592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUV6,NA,NA,NA,NA,NA,0.002242152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUZ2,NA,0,NA,0.001644737,NA,NA,NA,0.000932018,NA,NA,NA,0.000263158,NA,NA,0.001096491,NA,NA,0.000822368,NA,0.000575658,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000657895
A0A087WV01,NA,NA,NA,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WV45,0.059610127,0.061497296,0.082855714,0.151647476,0.061642479,0.057449279,0.057511134,0.184442459,0.13085167,0.160438851,0.14474529,0.057369572,0.13942363,0.109445327,0.055567628,0.065729006,0.118127439,0.088922155,0.071137193,0.043570555,0.034595176,NA,NA,0.049738301,0.038649656,NA,0.05912395,0.063686854,NA,0.112209886
A0A087WVQ9,0.005434783,0.010960145,NA,0.002717391,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005434783,NA,NA,NA,NA,NA,NA,0.001358696,NA,NA,NA,NA,0.005434783,NA,NA,NA,NA
